image_source,image_label,cluster,pc1,pc2,pc3,combined_vector
00669.18 a301.vsi - 20x_004,Lymphocytes,1,-3.0098817754929934,0.42498362525569533,-3.0098817754929934,"[-0.46236925 -0.80082129  0.27366929  0.84810982 -0.2332856  -0.70270725
 -0.90151215  0.88510867  0.1765236  -0.45528794  0.47604705  0.4225392
  0.01616475  0.61261586  0.49005098  1.32052518  1.32486252  0.57760423
 -0.60073346 -0.80609874 -0.77442498 -0.7424756  -0.82196341 -0.90707709
 -0.61379531 -1.11447314  0.72517083 -0.14760266 -1.69725412  0.23298061
 -0.71008925 -1.09022774 -0.78724361 -1.3039755 ]"
00670.18 a201.vsi - 20x_001,Lymphocytes,1,-2.595818262255335,-3.8562350031883748,-2.595818262255335,"[ 0.11765247 -0.93147959  1.14191072  0.2442623  -0.87496866 -0.4653272
 -1.26602316  1.29861544 -1.88277    -1.06274285  1.10995256 -1.32114021
 -1.40198295 -1.41211762 -1.56984909  0.41694063  0.37279373  0.20167842
 -0.267054   -0.48520356 -0.86218057 -0.94479039 -0.68330956 -0.85521849
  0.20678552 -0.34439596  0.7284798  -0.10311738 -0.63997888  1.12194519
  0.56811669 -0.33546301 -1.53411193  0.55784141]"
00835.18 A2.vsi - 20x_001,Lymphocytes,1,-3.8547843829233357,4.548778167561282,-3.8547843829233357,"[-0.20243954 -0.83296791  1.07989348  0.2442623  -0.78106382 -0.48518245
 -1.01654772  0.79616658  0.71269048 -1.09237322  0.35922064  2.62097017
  1.38796593  4.7169133   2.86835805  1.35881266  1.31857732  0.01393124
 -0.55716658 -0.94132303 -0.72924374 -0.94122404 -1.69851967  2.83895217
  0.39855278  1.3120807  -1.65064867  0.66511616  0.71931994  1.6296512
  0.86515086  0.80117073  1.32951445  0.23116235]"
00835.18 A2.vsi - 20x_002,Lymphocytes,1,-2.9043714786968144,4.908393038404053,-2.9043714786968144,"[-0.27072919 -0.50605154  0.52173827 -0.35958523 -0.89844487 -0.31240899
 -0.62846614  0.20726561  1.1494217  -0.55737798  0.48019904  2.55802136
  1.49098063  4.25407622  2.87401913  1.16737526  1.01986549  0.02202164
 -0.49882421 -0.8506774  -0.38421502 -0.59857161 -1.44757882  0.60436967
 -1.45980689  0.07669945 -0.97528198  0.58907575  0.25577944 -0.25800059
 -0.43149849 -0.3914393  -0.46652182 -0.26606004]"
00835.18 A2.vsi - 20x_003,Lymphocytes,1,-0.24002415356109205,3.036467492815582,-0.24002415356109205,"[ 0.04019934 -0.18455606  0.1496348  -0.35958523 -0.45239689  0.09460787
 -0.30569877 -0.21415032  0.30288195  0.25724271 -0.28789218  1.14103801
  1.82360043  1.91205196  2.60726229 -0.64745135 -0.70527978  0.29186564
  0.23257856  0.12289369 -0.09677069 -0.4581452   1.05192476 -0.50537382
  0.05938322  0.49764495  0.01831051 -0.55755931 -0.02233676 -0.33895054
 -1.28339444 -1.11289362  1.89835105 -1.03109574]"
00922.18.vsi - 20x_001,Lymphocytes,1,-3.5223778795486176,1.7950951173833996,-3.5223778795486176,"[-1.01145305 -0.92397427 -0.34650316  0.2442623  -0.53847633 -1.21405698
 -1.1118521   1.0043519   0.38231671 -1.27931866  1.50136532  0.6661621
  1.23432369  1.41840744  2.13180469  0.63135052  0.47985316  0.30039499
 -0.35992225 -0.58100181 -0.97100792 -0.81066419  0.05033772 -2.03607382
  0.0189624   0.41895439 -0.47595718  1.15417951 -1.13465936  1.00645636
 -0.58600942 -0.52329193 -1.44000375 -1.66910296]"
00922.18.vsi - 20x_001 (2),Lymphocytes,1,-4.399610063132478,0.5092624815122476,-4.399610063132478,"[-0.79909681 -1.04337591 -0.09843418 -0.35958523 -1.43057228 -1.12466837
 -1.20250432  1.22896223 -0.89241169 -1.67245372  0.64093298  0.34007503
  0.43529972  0.54915867  0.98484468  0.94530787  1.19474976  1.69839165
 -0.55317773 -0.48421596 -0.95664004 -1.20265279 -1.17985706  0.25079067
  0.11887308  0.63863771 -0.46085197  1.8740828   0.26949308 -1.09431458
 -0.82030393 -1.12800842 -0.36467057 -0.6161977 ]"
00922.18.vsi - 20x_001 (3),Lymphocytes,1,-5.8671232456464875,2.796319220526263,-5.8671232456464875,"[-1.24381649 -1.05919373 -0.71860663 -0.35958523 -1.20363559 -1.65113193
 -1.38641142  1.64696922 -1.32788018 -1.90881214  0.63472972  1.30219079
  1.25416287  1.42817939  2.66716885  2.00969984  2.22634015  2.35714121
 -0.83135505 -0.62973877 -1.19282553 -1.00207873 -0.39481789 -1.26906378
 -0.60508266  1.17529304 -1.09144251  0.58234983  0.32983564 -0.50538808
 -0.67868209 -0.64824949 -1.56604078 -1.32875212]"
00922.18.vsi - 20x_002,Lymphocytes,1,-4.37501196049668,3.474642606862131,-4.37501196049668,"[-1.06240989 -1.04510676 -0.34650316 -0.35958523 -0.67933358 -1.30582719
 -1.12497235  1.2366605   0.21417536 -1.54885107  1.48747983  1.22623758
  1.8151145   2.32231843  3.58069718  1.06017031  0.95871172 -0.12434155
 -0.56492492 -0.77250429 -1.07594406 -0.95845984 -0.7199272  -0.82997638
 -0.70690523  0.31820836 -0.14069917  0.75548392  1.10012807 -1.25633051
 -0.43354443 -1.04252811 -1.69024352 -0.74100475]"
00922.18.vsi - 20x_002 (2),Lymphocytes,1,-4.907012594440642,0.8842294332639493,-4.907012594440642,"[-0.98158728 -1.13080493 -0.34650316 -0.35958523 -1.57142954 -1.30471345
 -1.26029329  1.39457389 -0.40870508 -1.65133113  1.84995263  0.4289785
  0.84889973  0.18984641  1.18966631  1.38178515  1.36072214  1.94672002
 -0.65807768 -0.61184814 -1.12185255 -1.1326231  -0.01695677 -2.15430604
 -0.77036036  0.38393985 -1.45955306  0.06093914 -0.64862809 -0.73688394
 -0.42002694  0.67026271 -2.54784615 -0.46673651]"
